SAMP_NUM,SA_GS_3,SA_GS_6,SA_GS_9,SA_GS_12,SA_GS_15,SA_GS_17,SA_GS_19,SA_GS_21,SA_GS_23,SA_GS_26,SA_GS_29,SA_GS_32,SA_DET_54,Test Condition
1540568,7.457,13.635000000000002,19.625,5.559,3.376,1.87,3.2760000000000002,1.7560000000000002,2.069,16.803,10.479,2.1570000000000005,21.060999999999996,PRE
1540569,7.312999999999999,13.488999999999997,19.465000000000003,5.445,3.5740000000000003,2.0660000000000003,3.094,1.582,1.971,16.685,10.377,2.0169999999999995,21.029,PRE
1540570,7.526000000000001,13.738,19.652,5.404,3.268,1.742,3.2880000000000003,1.746,1.8180000000000003,16.828,10.576,2.182,21.052000000000003,PRE
1540571,7.483999999999999,13.702,19.68,5.350999999999999,3.513,2.031,3.1229999999999998,1.6109999999999998,1.8469999999999998,16.857999999999997,10.559999999999999,2.174,21.037999999999997,PRE
1541384,7.227999999999999,13.494000000000002,19.572,5.981999999999999,2.9009999999999994,1.547,3.663,2.409,2.596,17.176000000000002,10.921999999999999,2.3659999999999997,20.977,PRE
1541385,7.257000000000001,13.573,19.703,6.048,2.83,1.434,3.785999999999999,2.532,2.708,17.244999999999997,10.981000000000002,2.401,20.957,PRE
1541386,7.264999999999999,13.549000000000001,19.663000000000004,5.891000000000001,2.8970000000000002,1.5409999999999997,3.709,2.4630000000000005,2.545,17.283,10.961,2.4749999999999996,20.948999999999998,PRE
1541387,7.178000000000001,13.383999999999999,19.446,6.087999999999999,2.987,1.6230000000000002,3.563,2.319,2.8040000000000003,17.054,10.809999999999999,2.378,20.959999999999997,PRE
1541388,7.204,13.468,19.505999999999997,6.0440000000000005,2.9210000000000003,1.5570000000000002,3.605,2.3469999999999995,2.522,17.124000000000002,10.893999999999998,2.356,20.939,PRE
1541389,7.312999999999999,13.569000000000003,19.674999999999997,5.818000000000001,2.8669999999999995,1.527,3.683,2.443,2.3979999999999997,17.249,10.999000000000002,2.455,20.97,PRE
1541475,7.245,13.473,19.467,5.832,3.186,1.854,3.258,1.998,2.43,17.001,10.899,2.331,20.997,PRE
1541476,7.29,13.554,19.71,6.075,2.862,1.548,3.726,2.448,2.637,17.154,10.926,2.322,20.97,PRE
1541477,7.236,13.572,19.746,6.102,2.907,1.521,3.753,2.457,2.556,17.172,10.926,2.304,20.979,PRE
1541478,7.2,13.518,19.638,5.958,2.826,1.44,3.816,2.574,2.448,17.154,10.872,2.286,20.988,PRE
1541479,7.164,13.482,19.692,6.003,2.916,1.584,3.744,2.43,2.601,17.172,10.926,2.268,21.006,PRE
1541480,7.263,13.581,19.701,5.535,2.79,1.386,3.834,2.574,2.133,17.217,10.953,2.385,20.979,PRE
1541481,7.308,13.59,19.71,5.958,2.826,1.44,3.78,2.538,2.448,17.19,10.944,2.412,21.006,PRE
1541482,7.272,13.59,19.674,6.039,2.862,1.512,3.672,2.466,2.601,17.208,10.926,2.394,21.006,PRE
1541483,7.245,13.617,19.683,5.904,2.763,1.395,3.771,2.529,2.52,17.145,10.935,2.331,21.015,PRE
1541484,7.218,13.536,19.656,5.625,2.97,1.638,3.654,2.376,2.151,17.19,10.926,2.34,20.988,PRE
1541485,7.272,13.536,19.674,5.976,2.817,1.431,3.807,2.547,2.466,17.172,10.962,2.322,20.997,PRE
1541486,7.182,13.5,19.656,5.922,2.871,1.503,3.753,2.475,2.574,17.118,10.908,2.322,20.997,PRE
1541487,7.209,13.545,19.665,5.967,3.141,1.755,3.501,2.223,2.421,17.163,10.917,2.313,21.006,PRE
1541488,7.182,13.554,19.692,6.129,2.898,1.548,3.744,2.43,2.655,17.154,10.944,2.304,21.006,PRE
1541489,7.335,13.671,19.737,6.012,2.754,1.368,3.852,2.592,2.394,17.235,10.971,2.349,21.033,PRE
1541490,7.236,13.572,19.656,5.859,2.952,1.548,3.582,2.322,2.331,17.118,10.926,2.322,20.979,PRE
1541491,7.2,13.482,19.656,6.075,2.898,1.512,3.744,2.466,2.511,17.118,10.908,2.268,20.997,PRE
1541492,7.299,13.563,19.665,5.625,2.826,1.476,3.762,2.52,2.187,17.289,10.899,2.403,20.97,PRE
1541493,7.236,13.554,19.692,5.796,2.907,1.521,3.717,2.457,2.358,17.172,10.998,2.34,21.006,PRE
1541494,7.254,13.518,19.584,6.003,2.898,1.548,3.546,2.304,2.601,17.082,10.962,2.34,20.979,PRE
1541495,7.227,13.563,19.647,5.895,2.871,1.467,3.771,2.511,2.511,17.145,10.935,2.295,21.006,PRE
1541496,7.191,13.509,19.665,6.021,2.898,1.566,3.708,2.484,2.583,17.163,10.917,2.349,20.988,PRE
1541497,7.128,13.32,19.386,5.931,3.177,1.791,3.339,2.079,2.439,16.992,10.764,2.25,20.997,PRE
1541498,7.038,13.32,19.404,6.039,3.06,1.656,3.528,2.25,2.601,16.956,10.692,2.232,20.997,PRE
1541499,7.245,13.581,19.665,6.084,2.934,1.53,3.618,2.358,2.448,17.217,10.899,2.295,21.006,PRE
1541500,7.227,13.491,19.647,5.58,2.799,1.413,3.897,2.619,2.07,17.127,10.863,2.349,20.997,PRE
1541501,7.263,13.581,19.683,5.967,2.934,1.548,3.69,2.43,2.475,17.235,10.935,2.313,21.024,PRE
1541502,7.146,13.41,19.566,6.336,2.934,1.53,3.6,2.376,2.736,17.046,10.764,2.25,21.006,PRE
1541503,7.191,13.455,19.503,6.075,3.06,1.728,3.456,2.178,2.691,17.037,10.809,2.313,20.997,PRE
1541504,7.299,13.617,19.647,5.625,3.033,1.719,3.501,2.277,2.169,17.163,10.953,2.331,20.988,PRE
1541505,7.182,13.518,19.656,6.057,2.826,1.422,3.816,2.538,2.475,17.154,10.962,2.304,21.006,PRE
1541506,7.245,13.563,19.665,5.922,2.943,1.575,3.663,2.403,2.412,17.253,10.899,2.367,20.988,PRE
1541507,7.209,13.473,19.575,5.643,3.132,1.764,3.42,2.16,2.277,17.091,10.881,2.367,20.988,PRE
1541508,7.236,13.536,19.692,5.661,2.817,1.413,3.825,2.547,2.223,17.28,10.926,2.376,21.015,PRE
1541509,7.308,13.644,19.728,5.733,2.79,1.44,3.816,2.538,2.223,17.172,10.998,2.34,20.979,PRE
1541510,7.2,13.518,19.584,5.787,3.015,1.647,3.537,2.277,2.331,17.136,10.926,2.322,20.988,PRE
1541511,7.245,13.563,19.665,5.679,3.042,1.656,3.528,2.286,2.313,17.127,10.863,2.295,20.988,PRE
1541512,7.317,13.581,19.737,5.796,2.88,1.512,3.798,2.502,2.304,17.181,10.971,2.403,21.006,PRE
1541513,7.263,13.581,19.683,5.868,2.754,1.404,3.87,2.592,2.448,17.181,10.935,2.385,21.024,PRE
1541514,7.245,13.491,19.611,5.751,3.132,1.782,3.438,2.196,2.349,17.091,10.935,2.349,21.015,PRE
1541515,7.254,13.572,19.728,5.715,2.763,1.359,3.897,2.601,2.259,17.208,10.908,2.358,21.006,PRE
1541516,7.137,13.473,19.611,5.715,2.916,1.512,3.672,2.412,2.295,17.127,10.899,2.259,20.97,PRE
1541517,7.254,13.572,19.692,5.985,2.826,1.458,3.798,2.538,2.421,17.19,10.908,2.358,21.015,PRE
1541518,7.317,13.581,19.719,5.643,2.817,1.449,3.681,2.439,2.277,17.235,11.007,2.385,20.988,PRE
1542573,7.374,13.576,19.607999999999997,,3.1910000000000003,1.873,3.231,2.0050000000000003,,17.186000000000003,11.016,2.5000000000000004,20.945,PRE
1542574,7.42,13.672,19.746,,2.987,1.665,3.535,2.3070000000000004,,17.342,11.088000000000001,2.57,20.974999999999998,PRE
1542575,7.2959999999999985,13.574,19.654,,2.8609999999999998,1.5290000000000001,3.689,2.439,,17.268,11.036,2.502,20.958999999999996,PRE
1542576,7.3629999999999995,13.636999999999999,19.673000000000002,,2.72,1.396,3.766,2.53,,17.265,11.051,2.423,20.962000000000003,PRE
1542577,7.251,13.515,19.601000000000003,,2.962,1.6119999999999999,3.5940000000000003,2.35,,17.183,10.965,2.445,20.942999999999998,PRE
1542578,7.285,13.561,19.680999999999997,,2.9659999999999997,1.6060000000000003,3.612,2.348,,17.247,10.975000000000001,2.4589999999999996,20.914,PRE
1542579,7.258,13.524,19.674,,3.0389999999999997,1.701,3.567,2.295,,17.224,10.979999999999999,2.4779999999999998,20.981,PRE
1542580,7.242,13.486,19.58,6.218,3.22,1.8639999999999999,3.314,2.0359999999999996,2.676,17.084,10.842,2.3499999999999996,20.992000000000004,PRE
1542581,7.245,13.520999999999999,19.644999999999996,,3.0559999999999996,1.716,3.5559999999999996,2.296,,17.193,10.934999999999999,2.381,20.978,PRE
1542582,7.306000000000001,13.610000000000001,19.726,,2.821,1.475,3.727,2.455,,17.262,10.991999999999999,2.444,20.921000000000003,PRE
1542583,7.383,13.683,19.789,,2.561,1.265,3.9710000000000005,2.7190000000000003,,17.352999999999998,11.079,2.521,20.964999999999996,PRE
1542584,7.416,13.675999999999997,19.714,,2.9030000000000005,1.5330000000000001,3.649,2.3710000000000004,,17.291999999999998,11.074,2.4879999999999995,20.965000000000003,PRE
1542585,7.280000000000001,13.547999999999998,19.602,5.962000000000001,2.927,1.6070000000000002,3.5589999999999997,2.327,2.5980000000000003,17.21,10.994,2.414,20.953,PRE
1542586,7.249,13.523,19.622999999999998,6.215,2.8729999999999998,1.519,3.6750000000000003,2.4170000000000003,2.769,17.157,10.890999999999998,2.419,20.965999999999998,PRE
1542587,7.234999999999999,13.506999999999998,19.605000000000004,5.941999999999999,3.116,1.7440000000000002,3.49,2.204,2.3020000000000005,17.123,10.887,2.375,20.932,PRE
1542588,7.17,13.422000000000002,19.57,5.909000000000001,3.1660000000000004,1.834,3.5179999999999993,2.2439999999999998,2.479,17.128,10.847999999999997,2.4019999999999997,20.944000000000003,PRE
1542589,7.226999999999999,13.464999999999998,19.527,6.018,3.1720000000000006,1.848,3.3099999999999996,2.0540000000000003,2.632,17.123,10.896999999999998,2.3850000000000002,20.974999999999998,PRE
1542590,7.258,13.564,19.714,5.913999999999999,2.851,1.5230000000000001,3.707,2.455,2.604,17.317999999999998,11.01,2.456,20.981,PRE
1542591,7.159,13.447,19.572999999999997,5.897,2.885,1.5130000000000001,3.7390000000000003,2.479,2.551,17.167,10.867,2.327,20.921,PRE
